prefecture,population_2020,lawyers_2023,bar_assoc_branches,courts_main,ngo_count_seed,did_pop_ratio
北海道,5224614,1067,4,4,2,0.74
青森県,1237984,123,1,1,0,0.45
岩手県,1210534,103,1,1,0,0.36
宮城県,2301996,471,1,1,0,0.65
秋田県,959502,75,1,1,0,0.36
山形県,1068027,107,1,1,0,0.40
福島県,1833152,189,1,1,0,0.42
茨城県,2867009,294,1,1,0,0.43
栃木県,1933146,228,1,1,0,0.45
群馬県,1939110,310,1,1,0,0.47
埼玉県,7344765,924,1,1,0,0.83
千葉県,6284480,873,1,1,0,0.77
東京都,14047594,21515,1,1,5,0.98
神奈川県,9237337,1736,1,1,1,0.94
新潟県,2201272,277,1,1,0,0.51
富山県,1034814,123,1,1,0,0.55
石川県,1132526,200,1,1,0,0.58
福井県,766863,129,1,1,0,0.50
山梨県,809974,128,1,1,0,0.51
長野県,2048011,250,1,1,0,0.43
岐阜県,1978742,225,1,1,0,0.55
静岡県,3633202,548,1,1,0,0.68
愛知県,7542415,2174,1,1,0,0.83
三重県,1770254,210,1,1,0,0.55
滋賀県,1413610,177,1,1,0,0.65
京都府,2578087,853,1,1,1,0.79
大阪府,8837685,5052,1,1,1,0.96
兵庫県,5465002,1042,1,1,1,0.81
奈良県,1324473,209,1,1,0,0.72
和歌山県,922584,143,1,1,0,0.51
鳥取県,553407,75,1,1,0,0.39
島根県,671126,84,1,1,0,0.30
岡山県,1888432,419,1,1,0,0.61
広島県,2799702,646,1,1,0,0.71
山口県,1342059,177,1,1,0,0.51
徳島県,719559,87,1,1,0,0.40
香川県,950244,178,1,1,0,0.55
愛媛県,1334841,178,1,1,0,0.50
高知県,691527,90,1,1,1,0.42
福岡県,5135214,1413,1,1,1,0.82
佐賀県,811442,108,1,1,0,0.40
長崎県,1312317,167,1,1,0,0.51
熊本県,1738301,283,1,1,0,0.59
大分県,1123852,170,1,1,0,0.49
宮崎県,1069576,143,1,1,0,0.45
鹿児島県,1588256,224,1,1,0,0.49
沖縄県,1467480,310,1,1,0,0.69
