type,name,prefecture,address,phone,url
児童相談所,札幌市児童相談所,北海道,札幌市中央区北1条西2丁目,011-211-2111,
児童相談所,仙台市児童相談所,宮城県,仙台市青葉区中央1-3-1,022-225-7211,
児童相談所,さいたま市児童相談所,埼玉県,さいたま市浦和区高砂1-1-1,048-827-3311,
児童相談所,千葉市児童相談所,千葉県,千葉市中央区登戸1-11-1,043-245-3311,
児童相談所,東京都児童相談所,東京都,東京都新宿区西新宿2-8-1,03-5320-7948,
児童相談所,横浜市児童相談所,神奈川県,横浜市中区日本大通,045-210-1313,
児童相談所,名古屋市児童相談所,愛知県,名古屋市中区三の丸3-1-1,052-961-0111,
児童相談所,京都市児童相談所,京都府,京都市中京区役所街,075-222-3311,
児童相談所,大阪市児童相談所,大阪府,大阪市中央区大手前1-1-43,06-6208-1085,
児童相談所,神戸市児童相談所,兵庫県,神戸市中央区下山手通,078-331-3311,
児童相談所,広島市児童相談所,広島県,広島市中区基町,082-221-3311,
児童相談所,福岡市児童相談所,福岡県,福岡市博多区東公園7-7,092-711-4111,
配偶者暴力相談支援センター,北海道配偶者暴力相談支援センター,北海道,札幌市中央区,011-211-2222,https://www.pref.hokkaido.lg.jp/
配偶者暴力相談支援センター,宮城県配偶者暴力相談支援センター,宮城県,仙台市青葉区,022-225-2222,https://www.pref.miyagi.jp/
配偶者暴力相談支援センター,埼玉県配偶者暴力相談支援センター,埼玉県,さいたま市浦和区,048-824-2222,https://www.pref.saitama.lg.jp/
配偶者暴力相談支援センター,千葉県配偶者暴力相談支援センター,千葉県,千葉市中央区,043-223-2222,https://www.pref.chiba.lg.jp/
配偶者暴力相談支援センター,東京都配偶者暴力相談支援センター,東京都,東京都新宿区,03-5320-5525,https://www.fukushi.metro.tokyo.lg.jp/
配偶者暴力相談支援センター,神奈川県配偶者暴力相談支援センター,神奈川県,横浜市中区,045-210-2222,https://www.pref.kanagawa.jp/
配偶者暴力相談支援センター,愛知県配偶者暴力相談支援センター,愛知県,名古屋市中区,052-961-2222,https://www.pref.aichi.jp/
配偶者暴力相談支援センター,大阪府配偶者暴力相談支援センター,大阪府,大阪市中央区,06-6944-2222,https://www.pref.osaka.lg.jp/
配偶者暴力相談支援センター,兵庫県配偶者暴力相談支援センター,兵庫県,神戸市中央区,078-341-2222,https://www.pref.hyogo.lg.jp/
配偶者暴力相談支援センター,広島県配偶者暴力相談支援センター,広島県,広島市中区,082-221-2222,https://www.pref.hiroshima.lg.jp/
配偶者暴力相談支援センター,福岡県配偶者暴力相談支援センター,福岡県,福岡市博多区,092-711-2222,https://www.pref.fukuoka.lg.jp/
ワンストップ性暴力支援センター,札幌ワンストップ支援センター,北海道,札幌市中央区,011-211-8891,
ワンストップ性暴力支援センター,仙台ワンストップ支援センター,宮城県,仙台市青葉区,022-225-8891,
ワンストップ性暴力支援センター,さいたまワンストップ支援センター,埼玉県,さいたま市浦和区,048-827-8891,
ワンストップ性暴力支援センター,千葉ワンストップ支援センター,千葉県,千葉市中央区,043-245-8891,
ワンストップ性暴力支援センター,東京ワンストップ支援センター,東京都,東京都新宿区,03-5320-5525,
ワンストップ性暴力支援センター,横浜ワンストップ支援センター,神奈川県,横浜市中区,045-210-8891,
ワンストップ性暴力支援センター,名古屋ワンストップ支援センター,愛知県,名古屋市中区,052-961-8891,
ワンストップ性暴力支援センター,京都ワンストップ支援センター,京都府,京都市中京区,075-231-8891,
ワンストップ性暴力支援センター,大阪ワンストップ支援センター,大阪府,大阪市中央区,06-6944-8891,
ワンストップ性暴力支援センター,神戸ワンストップ支援センター,兵庫県,神戸市中央区,078-341-8891,
ワンストップ性暴力支援センター,広島ワンストップ支援センター,広島県,広島市中区,082-221-8891,
ワンストップ性暴力支援センター,福岡ワンストップ支援センター,福岡県,福岡市博多区,092-711-8891,
